Vinho,Qtd,Data,Fornecedor
Nicola Bonarda,5,16/03/2026,Christian
El Enemigo Cab Franc,5,16/03/2026,Christian
Rutini Cab Malbec,5,17/03/2026,Christian
Dv Catena Chardonnay,5,17/03/2026,Christian
El Enemigo Chardonnay,5,16/03/2026,Marcelo
Luigi Bosca Malbec,5,16/03/2026,Marcelo
Chandon Brut,2,16/03/2026,Marcelo
Escorihuela,5,16/03/2026,Marcelo
El Enemigo Malbec,12,16/03/2026,Marcelo
El Enemigo Malbec,6,14/03/2026,Marcelo
Malbec Argentino,2,14/03/2026,Marcelo
Angelica Malbec,15,14/03/2026,Marcelo
Rutini Malbec,2,14/03/2026,Gaccio
Rutini Cab Malbec,3,14/03/2026,Gaccio
Alamos Malbec,4,14/03/2026,Gaccio
Kit Inferno,3,14/03/2026,Márcia
Malcriado,2,14/03/2026,Márcia
Gualtallary,2,14/03/2026,Márcia
Angelica Malbec,11,20/03/2026,Max
Alma Negra,6,20/03/2026,Max
DV Catena Cab Malbec,15,20/03/2026,Márcia
Dv Catena Malbec Malbec,12,20/03/2026,Márcia
Chandon Brut,3,20/03/2026,Márcia
Pequeñas Producciones,3,20/03/2026,Gaccio
DV Catena Cab Malbec,10,20/03/2026,Gaccio
El Enemigo Chardonnay,10,09/03/2026,Sérgio
Maison Pouget,2,20/03/2026,Mateo
