Vinho,Estoque Inicial,Status
Chandon Brut,2,M&A
El Enemigo Chardonnay,3,M&A
El Enemigo Malbec,6,M&A
Luigi Bosca Malbec,2,M&A
Nicola Bonarda,2,Transporte
El Enemigo Chardonnay,4,Transporte
Luigi Bosca Malbec,3,Transporte
Chandon Brut,3,Transporte
Escorihuela,5,Transporte
Angelica Malbec,11,Transporte
Rutini Cab Malbec,5,Transporte
Alma Negra,6,Transporte
DV Catena Cab Malbec,25,Transporte
Dv Catena Malbec Malbec,12,Transporte
Pequeñas Producciones,3,Transporte
Dv Catena Chardonnay,5,Transporte
Maison Pouget,2,Transporte
